mannyconcepts,RT @DevcherHQ: #purpose #belief #tech #javascript #developer #antifatigue https://t.co/lv9Pde4XsS
mannyconcepts,"RT @adelabukamal: 🗣️📢!!!

Cartoon art by @Tolamiope https://t.co/LDVhkL8XpM"
mannyconcepts,"RT @OlaAgunbiade: I painted the great Thomas Shelby

@ThePeakyBlinder
So guys, Thomas Shelby or Thomas Potter?

Painted on @Procreate https…"
mannyconcepts,RT @BigBrainPosting: https://t.co/wOSu0Ntd1Y
mannyconcepts,"RT @AmooDaniel_: Twitter developers in Nigeria, I keep on getting this error, I think it's because of the Twitter ban. How can the tweepy p…"
mannyconcepts,RT @__MikeAnthony: Using water to put out a fire that’s located in water is something I can’t comprehend right now
mannyconcepts,@Tolamiope Tolaa💀
mannyconcepts,RT @Tolamiope: A piece Lol🎨 https://t.co/UKLsR2Sn9B
mannyconcepts,"RT @adelabukamal: HTML, CSS, JavaScript, Node Js, Express, Mongo Db.

I am good with all of the above.👨🏽‍💻"
mannyconcepts,RT @timinaija: I recently worked on social media designs for a travel agency. Kindly RT. https://t.co/4AbgqKwT1Q
